delivery_ID,order_ID,scheduled_date,actual_delivery_date,status
1,136,2025-09-24 02:56:25,,Pending
2,916,2025-11-01 02:56:25,2025-11-02 02:56:25,Shipped
3,655,2025-10-21 02:56:25,,Pending
4,574,2025-10-20 02:56:25,,Pending
5,468,2025-10-04 02:56:25,2025-10-04 02:56:25,Cancelled
6,304,2025-09-10 02:56:25,,Pending
7,126,2025-09-15 02:56:25,2025-09-16 02:56:25,Shipped
8,585,2025-10-18 02:56:25,,Pending
9,943,2025-10-07 02:56:25,2025-10-10 02:56:25,Shipped
10,848,2025-09-18 02:56:25,2025-09-18 02:56:25,Cancelled
11,410,2025-10-23 02:56:25,2025-10-23 02:56:25,Cancelled
12,688,2025-09-25 02:56:25,2025-09-26 02:56:25,Delivered
13,650,2025-10-30 02:56:25,2025-10-30 02:56:25,Cancelled
14,652,2025-10-05 02:56:25,2025-10-07 02:56:25,Delivered
15,776,2025-10-02 02:56:25,2025-10-03 02:56:25,Delivered
16,532,2025-10-02 02:56:25,2025-10-02 02:56:25,Cancelled
17,478,2025-10-22 02:56:25,2025-10-25 02:56:25,Delivered
18,350,2025-10-11 02:56:25,2025-10-12 02:56:25,Delivered
19,685,2025-09-10 02:56:25,,Pending
20,596,2025-09-09 02:56:25,,Pending
21,214,2025-09-23 02:56:25,2025-09-28 02:56:25,Delivered
22,10,2025-10-10 02:56:25,2025-10-13 02:56:25,Shipped
23,382,2025-11-03 02:56:25,,Pending
24,639,2025-10-19 02:56:25,2025-10-20 02:56:25,Delivered
25,352,2025-10-06 02:56:25,,Pending
26,842,2025-10-13 02:56:25,2025-10-17 02:56:25,Delivered
27,171,2025-09-17 02:56:25,2025-09-19 02:56:25,Shipped
28,783,2025-10-10 02:56:25,2025-10-13 02:56:25,Shipped
29,542,2025-11-01 02:56:25,,Pending
30,723,2025-11-01 02:56:25,2025-11-04 02:56:25,Shipped
31,252,2025-09-16 02:56:25,2025-09-18 02:56:25,Shipped
32,210,2025-10-05 02:56:25,2025-10-10 02:56:25,Delivered
33,399,2025-11-02 02:56:25,2025-11-03 02:56:25,Delivered
34,742,2025-10-11 02:56:25,,Pending
35,455,2025-09-09 02:56:25,2025-09-09 02:56:25,Cancelled
36,123,2025-10-18 02:56:25,,Pending
37,297,2025-10-30 02:56:25,2025-11-01 02:56:25,Delivered
38,608,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
39,283,2025-11-09 02:56:25,2025-11-11 02:56:25,Shipped
40,711,2025-10-18 02:56:25,2025-10-21 02:56:25,Shipped
41,324,2025-10-25 02:56:25,2025-10-30 02:56:25,Delivered
42,489,2025-09-29 02:56:25,2025-09-29 02:56:25,Cancelled
43,254,2025-09-24 02:56:25,2025-09-25 02:56:25,Shipped
44,669,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
45,443,2025-10-12 02:56:25,,Pending
46,428,2025-10-19 02:56:25,2025-10-22 02:56:25,Shipped
47,249,2025-09-15 02:56:25,2025-09-15 02:56:25,Cancelled
48,696,2025-10-18 02:56:25,,Pending
49,155,2025-10-25 02:56:25,2025-10-25 02:56:25,Cancelled
50,578,2025-09-29 02:56:25,2025-09-29 02:56:25,Cancelled
51,591,2025-11-08 02:56:25,2025-11-13 02:56:25,Delivered
52,105,2025-10-17 02:56:25,,Pending
53,471,2025-09-29 02:56:25,2025-10-02 02:56:25,Delivered
54,605,2025-09-18 02:56:25,2025-09-22 02:56:25,Delivered
55,897,2025-09-23 02:56:25,2025-09-23 02:56:25,Cancelled
56,830,2025-10-14 02:56:25,2025-10-19 02:56:25,Delivered
57,936,2025-10-03 02:56:25,,Pending
58,557,2025-11-01 02:56:25,2025-11-02 02:56:25,Shipped
59,537,2025-09-29 02:56:25,2025-10-02 02:56:25,Shipped
60,480,2025-10-26 02:56:25,,Pending
61,903,2025-11-08 02:56:25,2025-11-12 02:56:25,Delivered
62,670,2025-09-28 02:56:25,,Pending
63,622,2025-10-11 02:56:25,2025-10-13 02:56:25,Delivered
64,630,2025-09-14 02:56:25,2025-09-17 02:56:25,Shipped
65,935,2025-10-13 02:56:25,,Pending
66,244,2025-10-14 02:56:25,,Pending
67,299,2025-09-27 02:56:25,2025-09-28 02:56:25,Shipped
68,485,2025-09-16 02:56:25,2025-09-18 02:56:25,Shipped
69,132,2025-10-10 02:56:25,2025-10-10 02:56:25,Cancelled
70,26,2025-09-13 02:56:25,2025-09-16 02:56:25,Shipped
71,52,2025-09-25 02:56:25,2025-09-25 02:56:25,Cancelled
72,55,2025-10-18 02:56:25,2025-10-18 02:56:25,Cancelled
73,517,2025-09-11 02:56:25,2025-09-11 02:56:25,Cancelled
74,336,2025-10-22 02:56:25,2025-10-23 02:56:25,Shipped
75,467,2025-09-15 02:56:25,2025-09-16 02:56:25,Delivered
76,506,2025-11-01 02:56:25,2025-11-04 02:56:25,Shipped
77,572,2025-10-11 02:56:25,,Pending
78,780,2025-09-10 02:56:25,,Pending
79,683,2025-11-01 02:56:25,,Pending
80,853,2025-09-18 02:56:25,2025-09-19 02:56:25,Delivered
81,458,2025-09-22 02:56:25,2025-09-24 02:56:25,Shipped
82,628,2025-10-23 02:56:25,2025-10-26 02:56:25,Shipped
83,208,2025-09-11 02:56:25,2025-09-11 02:56:25,Cancelled
84,881,2025-10-19 02:56:25,2025-10-19 02:56:25,Cancelled
85,379,2025-09-25 02:56:25,2025-09-26 02:56:25,Shipped
86,623,2025-10-15 02:56:25,2025-10-15 02:56:25,Cancelled
87,34,2025-10-16 02:56:25,2025-10-16 02:56:25,Cancelled
88,27,2025-09-09 02:56:25,2025-09-09 02:56:25,Cancelled
89,587,2025-09-30 02:56:25,,Pending
90,56,2025-10-16 02:56:25,2025-10-16 02:56:25,Cancelled
91,97,2025-09-20 02:56:25,,Pending
92,165,2025-10-20 02:56:25,2025-10-21 02:56:25,Shipped
93,330,2025-11-01 02:56:25,2025-11-01 02:56:25,Cancelled
94,296,2025-09-27 02:56:25,2025-09-27 02:56:25,Cancelled
95,555,2025-10-16 02:56:25,2025-10-20 02:56:25,Delivered
96,821,2025-10-20 02:56:25,,Pending
97,77,2025-10-10 02:56:25,,Pending
98,803,2025-09-13 02:56:25,,Pending
99,920,2025-09-06 02:56:25,2025-09-07 02:56:25,Shipped
100,721,2025-10-21 02:56:25,2025-10-21 02:56:25,Cancelled
101,149,2025-10-09 02:56:25,2025-10-11 02:56:25,Shipped
102,560,2025-09-15 02:56:25,2025-09-17 02:56:25,Shipped
103,425,2025-10-22 02:56:25,2025-10-22 02:56:25,Cancelled
104,759,2025-09-13 02:56:25,2025-09-13 02:56:25,Cancelled
105,54,2025-10-02 02:56:25,2025-10-02 02:56:25,Cancelled
106,595,2025-11-10 02:56:25,2025-11-10 02:56:25,Cancelled
107,515,2025-09-17 02:56:25,2025-09-19 02:56:25,Shipped
108,566,2025-09-26 02:56:25,,Pending
109,411,2025-09-19 02:56:25,,Pending
110,131,2025-10-06 02:56:25,,Pending
111,757,2025-09-05 02:56:25,2025-09-05 02:56:25,Cancelled
112,329,2025-10-20 02:56:25,2025-10-21 02:56:25,Shipped
113,459,2025-09-29 02:56:25,,Pending
114,858,2025-09-10 02:56:25,,Pending
115,933,2025-10-18 02:56:25,,Pending
116,53,2025-09-11 02:56:25,2025-09-11 02:56:25,Cancelled
117,896,2025-10-30 02:56:25,2025-11-02 02:56:25,Shipped
118,666,2025-10-22 02:56:25,,Pending
119,883,2025-10-28 02:56:25,,Pending
120,122,2025-09-25 02:56:25,2025-09-28 02:56:25,Delivered
121,619,2025-09-30 02:56:25,2025-10-02 02:56:25,Delivered
122,569,2025-10-23 02:56:25,2025-10-23 02:56:25,Cancelled
123,549,2025-10-25 02:56:25,2025-10-29 02:56:25,Delivered
124,712,2025-10-09 02:56:25,,Pending
125,643,2025-09-27 02:56:25,2025-09-27 02:56:25,Cancelled
126,750,2025-09-29 02:56:25,,Pending
127,431,2025-09-15 02:56:25,2025-09-18 02:56:25,Shipped
128,529,2025-09-27 02:56:25,2025-09-29 02:56:25,Shipped
129,930,2025-09-18 02:56:25,2025-09-20 02:56:25,Shipped
130,447,2025-10-14 02:56:25,2025-10-16 02:56:25,Shipped
131,366,2025-09-20 02:56:25,2025-09-25 02:56:25,Delivered
132,840,2025-10-16 02:56:25,,Pending
133,41,2025-10-12 02:56:25,2025-10-13 02:56:25,Delivered
134,512,2025-10-29 02:56:25,2025-10-30 02:56:25,Delivered
135,50,2025-09-24 02:56:25,2025-09-26 02:56:25,Shipped
136,726,2025-10-18 02:56:25,2025-10-21 02:56:25,Shipped
137,370,2025-09-24 02:56:25,2025-09-27 02:56:25,Shipped
138,186,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
139,327,2025-09-07 02:56:25,,Pending
140,475,2025-10-31 02:56:25,2025-10-31 02:56:25,Cancelled
141,104,2025-09-29 02:56:25,,Pending
142,697,2025-10-20 02:56:25,2025-10-22 02:56:25,Delivered
143,725,2025-09-29 02:56:25,2025-10-02 02:56:25,Shipped
144,796,2025-11-01 02:56:25,2025-11-01 02:56:25,Cancelled
145,931,2025-09-24 02:56:25,,Pending
146,921,2025-10-28 02:56:25,,Pending
147,645,2025-09-23 02:56:25,,Pending
148,909,2025-10-11 02:56:25,2025-10-13 02:56:25,Shipped
149,332,2025-10-31 02:56:25,,Pending
150,577,2025-10-08 02:56:25,2025-10-09 02:56:25,Delivered
151,857,2025-09-13 02:56:25,2025-09-16 02:56:25,Shipped
152,335,2025-10-16 02:56:25,,Pending
153,929,2025-11-02 02:56:25,2025-11-02 02:56:25,Cancelled
154,23,2025-10-07 02:56:25,2025-10-08 02:56:25,Shipped
155,293,2025-10-17 02:56:25,2025-10-19 02:56:25,Shipped
156,563,2025-10-11 02:56:25,2025-10-14 02:56:25,Shipped
157,361,2025-09-19 02:56:25,2025-09-19 02:56:25,Cancelled
158,255,2025-09-22 02:56:25,2025-09-24 02:56:25,Delivered
159,73,2025-09-28 02:56:25,2025-09-28 02:56:25,Cancelled
160,331,2025-10-04 02:56:25,2025-10-04 02:56:25,Cancelled
161,180,2025-09-18 02:56:25,2025-09-20 02:56:25,Shipped
162,600,2025-09-20 02:56:25,2025-09-22 02:56:25,Delivered
163,668,2025-11-03 02:56:25,,Pending
164,389,2025-09-18 02:56:25,2025-09-18 02:56:25,Cancelled
165,893,2025-10-24 02:56:25,2025-10-25 02:56:25,Delivered
166,786,2025-10-10 02:56:25,2025-10-15 02:56:25,Delivered
167,439,2025-10-21 02:56:25,2025-10-22 02:56:25,Delivered
168,541,2025-09-11 02:56:25,2025-09-13 02:56:25,Delivered
169,269,2025-10-17 02:56:25,2025-10-18 02:56:25,Delivered
170,3,2025-09-07 02:56:25,2025-09-07 02:56:25,Cancelled
171,594,2025-10-22 02:56:25,2025-10-26 02:56:25,Delivered
172,629,2025-10-13 02:56:25,,Pending
173,4,2025-09-29 02:56:25,2025-10-01 02:56:25,Shipped
174,457,2025-09-13 02:56:25,2025-09-13 02:56:25,Cancelled
175,253,2025-10-29 02:56:25,2025-10-31 02:56:25,Shipped
176,831,2025-10-11 02:56:25,,Pending
177,78,2025-10-10 02:56:25,2025-10-11 02:56:25,Delivered
178,813,2025-09-22 02:56:25,2025-09-26 02:56:25,Delivered
179,322,2025-10-14 02:56:25,2025-10-14 02:56:25,Cancelled
180,825,2025-11-02 02:56:25,2025-11-03 02:56:25,Shipped
181,449,2025-09-11 02:56:25,2025-09-11 02:56:25,Cancelled
182,161,2025-10-27 02:56:25,2025-10-31 02:56:25,Delivered
183,477,2025-09-29 02:56:25,,Pending
184,333,2025-10-05 02:56:25,2025-10-07 02:56:25,Delivered
185,337,2025-10-31 02:56:25,2025-11-04 02:56:25,Delivered
186,70,2025-09-14 02:56:25,2025-09-14 02:56:25,Cancelled
187,593,2025-09-20 02:56:25,2025-09-20 02:56:25,Cancelled
188,717,2025-10-07 02:56:25,,Pending
189,28,2025-10-08 02:56:25,2025-10-09 02:56:25,Delivered
190,40,2025-10-28 02:56:25,2025-10-30 02:56:25,Delivered
191,627,2025-10-03 02:56:25,2025-10-04 02:56:25,Shipped
192,814,2025-10-28 02:56:25,2025-10-30 02:56:25,Shipped
193,234,2025-10-10 02:56:25,,Pending
194,138,2025-09-17 02:56:25,2025-09-17 02:56:25,Cancelled
195,849,2025-09-28 02:56:25,2025-10-01 02:56:25,Shipped
196,899,2025-10-26 02:56:25,2025-10-26 02:56:25,Cancelled
197,274,2025-10-24 02:56:25,2025-10-25 02:56:25,Shipped
198,42,2025-10-02 02:56:25,,Pending
199,501,2025-09-30 02:56:25,2025-10-01 02:56:25,Shipped
200,110,2025-10-17 02:56:25,2025-10-17 02:56:25,Cancelled
201,284,2025-10-11 02:56:25,2025-10-12 02:56:25,Shipped
202,94,2025-10-18 02:56:25,2025-10-20 02:56:25,Shipped
203,250,2025-09-20 02:56:25,2025-09-24 02:56:25,Delivered
204,343,2025-09-16 02:56:25,2025-09-16 02:56:25,Cancelled
205,877,2025-10-29 02:56:25,2025-10-29 02:56:25,Cancelled
206,309,2025-10-08 02:56:25,2025-10-08 02:56:25,Cancelled
