inventory_ID,product_ID,quantity_on_hand,quantity_reserved,quantity_available,reorder_level,reorder_quantity,last_restock_date,inventory_status,lot_number,storage_conditions
1,1,327,57,270,13,120,2025-06-29 02:05:23,In Stock,LOT-10433,Refrigerated
2,2,71,13,58,96,189,2025-09-18 02:05:23,backordered,LOT-21819,Humidity controlled
3,3,216,8,208,13,73,2025-07-13 02:05:23,In Stock,LOT-60013,Refrigerated
4,4,258,13,245,81,100,2024-12-04 02:05:23,In Stock,LOT-38908,Humidity controlled
5,5,214,56,158,67,200,2025-06-12 02:05:23,In Stock,LOT-38637,Cool and dry place
6,6,388,81,307,99,158,2025-05-11 02:05:23,In Stock,LOT-94026,Room temperature
7,7,79,27,52,53,76,2025-09-15 02:05:23,backordered,LOT-54235,Keep away from sunlight
8,8,49,22,27,54,117,2025-10-10 02:05:23,backordered,LOT-11615,Keep away from sunlight
9,9,274,63,211,58,70,2025-01-23 02:05:23,In Stock,LOT-59407,Room temperature
10,10,424,321,103,89,142,2025-01-10 02:05:23,In Stock,LOT-81618,Refrigerated
11,11,360,35,325,15,108,2025-06-06 02:05:23,In Stock,LOT-49593,Cool and dry place
12,12,437,119,318,22,147,2025-06-12 02:05:23,In Stock,LOT-10341,Keep away from sunlight
13,13,325,186,139,30,144,2025-05-04 02:05:23,In Stock,LOT-31647,Refrigerated
14,14,343,136,207,99,68,2024-12-25 02:05:23,In Stock,LOT-52553,Refrigerated
15,15,273,125,148,30,168,2025-04-21 02:05:23,In Stock,LOT-41928,Room temperature
16,16,473,327,146,98,192,2025-07-12 02:05:23,In Stock,LOT-32764,Room temperature
17,17,431,393,38,17,108,2025-10-16 02:05:23,In Stock,LOT-83503,Room temperature
18,18,205,68,137,18,104,2025-01-15 02:05:23,In Stock,LOT-05641,Room temperature
19,19,108,83,25,73,151,2024-12-07 02:05:23,backordered,LOT-39537,Keep away from sunlight
20,20,73,33,40,27,113,2025-01-18 02:05:23,In Stock,LOT-67242,Humidity controlled
21,21,134,109,25,84,152,2025-04-30 02:05:23,backordered,LOT-38849,Refrigerated
22,22,70,65,5,73,73,2025-10-08 02:05:23,backordered,LOT-69653,Cool and dry place
23,23,78,20,58,97,158,2024-12-31 02:05:23,backordered,LOT-28710,Cool and dry place
24,24,197,97,100,86,169,2025-02-04 02:05:23,In Stock,LOT-12269,Room temperature
25,25,497,283,214,11,79,2024-11-17 02:05:23,In Stock,LOT-16697,Humidity controlled
26,26,384,136,248,92,137,2025-09-05 02:05:23,In Stock,LOT-84801,Room temperature
27,27,222,40,182,68,50,2025-06-20 02:05:23,In Stock,LOT-84514,Humidity controlled
28,28,390,91,299,74,77,2024-12-16 02:05:23,In Stock,LOT-62704,Room temperature
29,29,430,327,103,74,100,2025-08-15 02:05:23,In Stock,LOT-82814,Room temperature
30,30,390,82,308,79,185,2025-11-01 02:05:23,In Stock,LOT-89325,Humidity controlled
31,31,165,125,40,12,78,2025-04-30 02:05:23,In Stock,LOT-28809,Room temperature
32,32,122,7,115,40,195,2025-09-22 02:05:23,In Stock,LOT-57015,Cool and dry place
33,33,374,248,126,18,186,2025-08-29 02:05:23,In Stock,LOT-43039,Refrigerated
34,34,337,243,94,80,92,2025-06-19 02:05:23,In Stock,LOT-11718,Humidity controlled
35,35,446,310,136,64,104,2025-01-29 02:05:23,In Stock,LOT-22782,Refrigerated
36,36,365,159,206,61,145,2025-03-22 02:05:23,In Stock,LOT-48963,Humidity controlled
37,37,231,30,201,41,107,2025-09-30 02:05:23,In Stock,LOT-83465,Room temperature
38,38,10,9,1,80,108,2025-01-04 02:05:23,backordered,LOT-78713,Refrigerated
39,39,3,0,3,100,65,2025-07-07 02:05:23,backordered,LOT-31509,Cool and dry place
40,40,463,16,447,52,68,2025-02-11 02:05:23,In Stock,LOT-83930,Refrigerated
41,41,142,124,18,37,188,2025-08-26 02:05:23,backordered,LOT-10310,Humidity controlled
42,42,295,242,53,41,171,2025-04-07 02:05:23,In Stock,LOT-51834,Refrigerated
43,43,48,6,42,94,160,2025-05-04 02:05:23,backordered,LOT-73829,Keep away from sunlight
44,44,210,119,91,16,75,2025-10-01 02:05:23,In Stock,LOT-97376,Keep away from sunlight
45,45,372,173,199,23,113,2025-07-26 02:05:23,In Stock,LOT-31165,Refrigerated
46,46,274,229,45,27,158,2025-07-31 02:05:23,In Stock,LOT-66701,Room temperature
47,47,236,63,173,19,163,2025-01-24 02:05:23,In Stock,LOT-06513,Cool and dry place
48,48,25,20,5,79,53,2025-09-15 02:05:23,backordered,LOT-33872,Refrigerated
