invoice_ID,order_ID,customer_ID,invoice_date,due_date,total_amount,tax_amount,discount_amount,status,created_at,updated_at,note
1,136,134,2025-09-22 02:56:25,2025-10-10 02:56:25,737.6,51.63,16.46,Overdue,2025-09-22 02:56:25,2025-10-15 02:56:25,
2,916,136,2025-10-27 02:56:25,2025-11-29 02:56:25,4508.26,315.58,98.57,Overdue,2025-10-27 02:56:25,2025-11-13 02:56:25,Agent every development say quality throughout beautiful instead.
3,655,195,2025-10-18 02:56:25,2025-11-16 02:56:25,6098.02,426.86,0.0,Paid,2025-10-18 02:56:25,,Behavior discussion own night respond red.
4,574,98,2025-10-11 02:56:25,2025-11-03 02:56:25,1977.06,138.39,0.0,Unpaid,2025-10-11 02:56:25,2025-10-23 02:56:25,Determine operation speak according south recently future choice whatever from behavior.
5,468,123,2025-09-24 02:56:25,2025-10-17 02:56:25,8167.72,571.74,0.0,Overdue,2025-09-24 02:56:25,2025-10-23 02:56:25,Grow gas enough analysis least by.
6,304,23,2025-09-09 02:56:25,2025-10-14 02:56:25,6375.94,446.32,0.0,Overdue,2025-09-09 02:56:25,2025-09-11 02:56:25,Bad fall pick those gun court attorney product.
7,126,78,2025-09-13 02:56:25,2025-10-07 02:56:25,9859.6,690.17,0.0,Paid,2025-09-13 02:56:25,2025-09-27 02:56:25,
8,585,4,2025-10-09 02:56:25,2025-10-29 02:56:25,4016.72,281.17,107.24,Overdue,2025-10-09 02:56:25,2025-10-28 02:56:25,
9,943,80,2025-09-28 02:56:25,2025-11-05 02:56:25,2825.7,197.8,76.28,Overdue,2025-09-28 02:56:25,2025-10-05 02:56:25,
10,848,73,2025-09-09 02:56:25,2025-10-18 02:56:25,7872.0,551.04,25.27,Unpaid,2025-09-09 02:56:25,2025-09-11 02:56:25,World talk term herself law street class great prove.
11,410,173,2025-10-19 02:56:25,2025-11-23 02:56:25,5242.7,366.99,0.0,Overdue,2025-10-19 02:56:25,2025-10-27 02:56:25,Participant commercial rock clear here writer.
12,688,59,2025-09-15 02:56:25,2025-10-18 02:56:25,4570.12,319.91,0.0,Unpaid,2025-09-15 02:56:25,2025-09-19 02:56:25,
13,650,7,2025-10-27 02:56:25,2025-12-05 02:56:25,947.61,66.33,59.46,Overdue,2025-10-27 02:56:25,2025-10-29 02:56:25,Detail food shoulder argue start source husband at tree note responsibility defense material those poor.
14,652,149,2025-09-29 02:56:25,2025-10-22 02:56:25,9725.24,680.77,0.0,Paid,2025-09-29 02:56:25,2025-10-02 02:56:25,
15,776,17,2025-09-28 02:56:25,2025-11-06 02:56:25,3034.84,212.44,0.0,Paid,2025-09-28 02:56:25,2025-10-03 02:56:25,Enter east no enjoy once today human.
16,532,115,2025-09-30 02:56:25,2025-11-08 02:56:25,2197.19,153.8,0.0,Overdue,2025-09-30 02:56:25,2025-10-20 02:56:25,
17,478,86,2025-10-20 02:56:25,2025-11-08 02:56:25,4052.18,283.65,386.38,Overdue,2025-10-20 02:56:25,,
18,350,76,2025-10-01 02:56:25,2025-10-16 02:56:25,1562.74,109.39,153.98,Unpaid,2025-10-01 02:56:25,2025-10-08 02:56:25,
