order_id,product_id,add_to_cart_order,reordered
2384,8277,1,1
2384,329,2,1
2384,47766,3,1
2384,30450,4,1
2384,37067,5,1
2384,49621,6,1
2384,33788,7,1
2384,27521,8,1
2384,29675,9,1
2384,405,10,1
2384,18889,11,0
2384,42356,12,0
2384,45104,13,0
2384,40516,14,0
2384,3481,15,0
2384,7010,16,0
2384,34243,17,0
2384,13984,18,0
2384,26369,19,0
3910,36103,1,0
3910,29487,2,1
3910,34703,3,0
3910,14992,4,1
6629,15693,1,1
6629,6132,2,1
6629,21469,3,1
6629,9124,4,1
6629,24852,5,1
6629,48845,6,1
6629,36127,7,1
6629,9637,8,1
6629,14633,9,1
6629,8929,10,0
6629,46979,11,1
7332,14715,1,0
7469,33198,1,1
7469,41774,2,1
7469,10753,3,1
7469,19022,4,1
7469,5785,5,1
7469,45603,6,1
7469,41198,7,1
7469,43182,8,1
7469,42659,9,1
7469,47626,10,1
7469,8264,11,1
7469,18765,12,1
7469,37665,13,1
7469,32579,14,0
7469,32052,15,0
7541,29553,1,0
7541,16921,2,0
7541,16759,3,0
7541,8006,4,0
7541,30480,5,0
7541,14197,6,0
7728,16617,1,1
7728,38531,2,1
8437,6069,1,1
8437,5322,2,1
8437,17224,3,1
8437,49519,4,1
8437,5487,5,1
8437,18523,6,1
8437,22286,7,1
8437,18503,8,1
8437,10221,9,1
8437,16609,10,1
15911,41061,1,0
15911,31553,2,0
15911,24852,3,1
15911,47087,4,1
15911,33754,5,1
15911,5750,6,1
15911,19348,7,1
15911,22982,8,1
15911,44980,9,1
15911,8284,10,0
15911,6448,11,1
15911,4210,12,1
15911,29127,13,1
23725,24852,1,1
23725,20842,2,1
23725,28204,3,0
23725,49683,4,1
23725,20114,5,1
23725,34969,6,0
23725,21903,7,1
23725,18479,8,0
23725,47626,9,0
23725,21137,10,0
23725,9076,11,0
23725,25890,12,0
23725,41220,13,0
32006,24184,1,0
32006,21938,2,0
32006,22935,3,0
32006,34887,4,0
32006,13111,5,0
32006,6281,6,0
32006,32476,7,0
32006,22795,8,0
32006,47324,9,0
32006,8193,10,0
32006,9387,11,0
32006,45066,12,0
33979,31506,1,0
33979,22935,2,0
33979,24964,3,0
33979,30480,4,0
33979,1643,5,0
33979,44334,6,0
33979,31717,7,0
33979,38140,8,1
33979,47492,9,0
38022,36695,1,1
38022,30098,2,1
38022,11140,3,1
38022,24964,4,1
38022,47734,5,1
38022,3583,6,1
39167,38777,1,1
39167,24838,2,1
39167,17794,3,0
39167,34590,4,0
39167,22935,5,1
39167,8277,6,1
39167,24852,7,1
39167,21903,8,1
39167,39877,9,1
41118,38226,1,0
41118,11777,2,0
43015,47912,1,1
43015,19660,2,1
43015,13176,3,1
43015,26131,4,1
43015,18465,5,1
43015,8309,6,1
43015,28465,7,1
43015,17468,8,0
43015,8490,9,1
43015,27845,10,1
43015,20400,11,0
43015,13885,12,0
