order_id,product_id,review_id,add_to_cart_order,reordered,review_id.1
1,768,1,1,1,1
1,33,1,2,1,1
1,4407,1,3,1,1
1,2825,1,4,1,1
1,3440,1,5,1,1
1,4578,1,6,1,1
1,3125,1,7,1,1
1,2576,1,8,1,1
1,2767,1,9,1,1
1,41,1,10,1,1
1,1753,1,11,0,1
1,3902,1,12,0,1
1,4173,1,13,0,1
1,3734,1,14,0,1
1,283,1,15,0,1
1,633,1,16,0,1
1,3165,1,17,0,1
1,1316,1,18,0,1
1,2479,1,19,0,1
2,3351,2,1,0,2
2,2746,2,2,1,2
2,3217,2,3,0,2
2,1419,2,4,1,2
3,1471,3,1,1,3
3,551,3,2,1,3
3,2022,3,3,1,3
3,838,3,4,1,3
3,2351,3,5,1,3
3,4504,3,6,1,3
3,3354,3,7,1,3
3,899,3,8,1,3
3,1375,3,9,1,3
3,813,3,10,0,3
3,4341,3,11,1,3
4,1388,4,1,0,4
5,3070,5,1,1,5
5,3854,5,2,1,5
5,1005,5,3,1,5
5,1768,5,4,1,5
5,513,5,5,1,5
5,4214,5,6,1,5
5,3796,5,7,1,5
5,3979,5,8,1,5
5,3933,5,9,1,5
5,4394,5,10,1,5
5,767,5,11,1,5
5,1739,5,12,1,5
5,3491,5,13,1,5
5,3012,5,14,0,5
5,2969,5,15,0,5
6,2751,6,1,0,6
6,1572,6,2,0,6
6,1560,6,3,0,6
6,740,6,4,0,6
6,2828,6,5,0,6
6,1340,6,6,0,6
7,1546,7,1,1,7
7,3565,7,2,1,7
8,543,8,1,1,8
8,466,8,2,1,8
8,1595,8,3,1,8
8,4569,8,4,1,8
8,486,8,5,1,8
8,1715,8,6,1,8
8,2106,8,7,1,8
8,1714,8,8,1,8
8,954,8,9,1,8
8,1544,8,10,1,8
9,3787,9,1,0,9
9,2917,9,2,0,9
9,2351,9,3,1,9
9,4349,9,4,1,9
9,3121,9,5,1,9
9,509,9,6,1,9
9,1801,9,7,1,9
9,2176,9,8,1,9
9,4159,9,9,1,9
9,769,9,10,0,9
9,587,9,11,1,9
9,356,9,12,1,9
9,2714,9,13,1,9
10,2351,10,1,1,10
10,1944,10,2,1,10
10,2629,10,3,0,10
10,4583,10,4,1,10
10,1870,10,5,1,10
10,3232,10,6,0,10
10,2061,10,7,1,10
10,1711,10,8,0,10
10,4394,10,9,0,10
10,1980,10,10,0,10
10,833,10,11,0,10
10,2432,10,12,0,10
10,3798,10,13,0,10
11,2290,11,1,0,11
11,2067,11,2,0,11
11,2170,11,3,0,11
11,3228,11,4,0,11
11,1236,11,5,0,11
11,567,11,6,0,11
11,3003,11,7,0,11
11,2154,11,8,0,11
11,4368,11,9,0,11
11,757,11,10,0,11
11,871,11,11,0,11
11,4170,11,12,0,11
12,2913,12,1,0,12
12,2170,12,2,0,12
12,2356,12,3,0,12
12,2828,12,4,0,12
12,143,12,5,0,12
12,4096,12,6,0,12
12,2937,12,7,0,12
12,3525,12,8,1,12
12,4381,12,9,0,12
13,3408,13,1,1,13
13,2797,13,2,1,13
13,1037,13,3,1,13
13,2356,13,4,1,13
13,4403,13,5,1,13
13,288,13,6,1,13
14,3589,14,1,1,14
14,2348,14,2,1,14
14,1648,14,3,0,14
14,3204,14,4,0,14
14,2170,14,5,1,14
14,768,14,6,1,14
14,2351,14,7,1,14
14,2061,14,8,1,14
14,3679,14,9,1,14
15,3533,15,1,0,15
15,1092,15,2,0,15
16,4423,16,1,1,16
16,1831,16,2,1,16
16,1241,16,3,1,16
16,2455,16,4,1,16
16,1709,16,5,1,16
16,771,16,6,1,16
16,2652,16,7,1,16
16,1620,16,8,0,16
16,780,16,9,1,16
16,2604,16,10,1,16
16,1900,16,11,0,16
16,1310,16,12,0,16
16,482,16,13,0,16
16,1453,16,14,1,16
16,757,16,15,0,16
16,2261,16,16,0,16
16,675,16,17,0,16
16,4333,16,18,0,16
16,954,16,19,0,16
16,697,16,20,0,16
16,1147,16,21,0,16
16,2918,16,22,1,16
17,2913,17,1,1,17
17,4060,17,2,0,17
17,547,17,3,1,17
17,774,17,4,1,17
17,2955,17,5,1,17
17,4395,17,6,1,17
18,3247,18,1,0,18
18,1119,18,2,0,18
18,4268,18,3,0,18
18,4406,18,4,0,18
18,3803,18,5,0,18
19,502,19,1,0,19
19,862,19,2,0,19
19,1690,19,3,0,19
19,2937,19,4,0,19
19,4436,19,5,0,19
19,3758,19,6,0,19
20,768,20,1,0,20
20,4162,20,2,1,20
20,1980,20,3,0,20
20,4362,20,4,1,20
20,3163,20,5,1,20
20,747,20,6,1,20
20,2576,20,7,1,20
21,4341,21,1,0,21
21,3548,21,2,0,21
21,2698,21,3,1,21
21,2820,21,4,1,21
21,3492,21,5,0,21
21,3538,21,6,1,21
21,414,21,7,1,21
21,2290,21,8,1,21
21,1207,21,9,1,21
22,233,22,1,0,22
22,3080,22,2,0,22
22,1775,22,3,1,22
22,3862,22,4,1,22
22,43,22,5,0,22
22,3362,22,6,0,22
22,4365,22,7,0,22
23,3871,23,1,1,23
23,2351,23,2,1,23
23,4563,23,3,1,23
23,4407,23,4,1,23
23,2697,23,5,1,23
23,4560,23,6,1,23
23,1040,23,7,0,23
23,2714,23,8,1,23
23,2530,23,9,1,23
23,2461,23,10,1,23
23,2028,23,11,1,23
23,1233,23,12,1,23
23,3434,23,13,1,23
23,3788,23,14,1,23
23,3489,23,15,1,23
23,2014,23,16,1,23
23,1284,23,17,1,23
23,3681,23,18,1,23
23,4394,23,19,1,23
23,139,23,20,1,23
23,3330,23,21,1,23
23,54,23,22,0,23
