order_id,customer_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
490717,134,prior,1,0,0,
18064,136,train,12,0,1,30.0
2495112,195,prior,8,0,1,28.0
2137210,98,prior,23,0,2,8.0
1650049,123,prior,6,0,2,30.0
1048724,23,prior,3,0,0,30.0
458149,78,prior,61,0,3,14.0
2185219,4,prior,23,0,1,14.0
2514417,80,train,11,0,2,18.0
3176881,73,prior,27,0,4,30.0
1468237,173,prior,12,0,4,30.0
2629225,59,prior,13,0,0,8.0
2472237,7,prior,9,0,1,7.0
2489206,149,prior,10,0,5,4.0
2949112,17,prior,5,0,3,13.0
1922383,115,prior,41,0,0,4.0
1721499,86,prior,14,0,2,16.0
1218089,76,prior,1,0,1,
2623697,42,prior,5,0,5,8.0
2234576,120,prior,1,0,1,
755425,96,prior,4,0,1,14.0
23725,183,prior,3,0,1,30.0
1356601,28,prior,3,0,4,10.0
2437204,8,prior,13,0,0,5.0
1225122,32,prior,6,0,0,6.0
3166558,129,prior,1,0,1,
638191,145,prior,57,0,1,7.0
2974834,104,prior,13,0,1,7.0
1996455,29,prior,16,0,1,7.0
2763365,187,prior,4,0,1,18.0
874647,106,prior,76,0,1,4.0
752812,189,prior,6,0,0,10.0
1419053,124,prior,4,0,3,12.0
2860782,72,prior,29,0,1,3.0
1610833,74,prior,41,0,0,2.0
452763,104,prior,15,0,11,13.0
1017852,149,prior,16,0,11,19.0
2289372,102,prior,8,0,10,30.0
964593,100,prior,18,0,10,7.0
2716197,183,prior,3,0,11,2.0
1103328,128,prior,9,0,8,10.0
1768253,5,prior,19,0,8,30.0
878539,139,prior,6,0,10,30.0
2552410,14,prior,3,0,11,30.0
1581652,80,prior,13,0,11,10.0
1518497,138,prior,22,0,8,5.0
868598,131,prior,16,0,11,9.0
2651138,30,prior,3,0,11,5.0
583135,11,prior,29,0,11,7.0
2160271,196,prior,16,0,11,7.0
2210853,70,prior,20,0,10,22.0
407127,65,prior,5,0,11,9.0
461293,111,test,14,0,9,30.0
1670613,75,prior,6,0,9,22.0
2283237,83,prior,6,0,11,8.0
3365205,51,prior,2,0,10,6.0
3123851,18,prior,3,0,10,10.0
1950399,37,train,7,0,10,30.0
2059606,100,prior,9,0,8,6.0
1945464,196,prior,4,0,10,4.0
1740561,93,prior,5,0,10,29.0
940231,56,test,16,0,10,17.0
3384442,58,prior,1,0,9,
2553883,147,prior,9,0,7,7.0
2352914,71,prior,1,0,10,
2375887,99,prior,23,0,11,9.0
1908768,153,train,6,0,8,22.0
857132,184,prior,43,0,10,5.0
1031105,9,prior,19,0,9,8.0
1755058,11,prior,3,0,11,18.0
481525,39,prior,11,0,13,9.0
113285,74,prior,4,0,17,8.0
185308,49,prior,7,0,16,30.0
197729,6,prior,7,0,13,13.0
1859175,155,prior,9,0,14,5.0
1165171,192,prior,6,0,12,30.0
1649980,138,prior,5,0,12,13.0
1832853,78,prior,54,0,12,30.0
2124526,113,prior,6,0,15,7.0
2961974,89,prior,5,0,12,30.0
2605390,4,prior,13,0,12,21.0
3187249,20,prior,26,0,16,1.0
1621659,84,prior,1,0,15,
2373742,165,prior,1,0,13,
750247,174,prior,2,0,12,13.0
3282570,72,prior,20,0,13,22.0
1344622,185,prior,35,0,13,7.0
2356319,169,prior,4,0,13,1.0
142909,54,prior,2,0,12,13.0
117875,63,prior,5,0,16,5.0
2192678,55,prior,10,0,17,30.0
199461,199,prior,1,0,12,
377052,71,prior,2,0,15,30.0
608857,120,prior,1,0,15,
1133228,170,prior,12,0,16,7.0
1017596,25,prior,7,0,17,7.0
2048361,198,prior,7,0,12,30.0
3096351,6,prior,3,0,17,7.0
285575,87,prior,42,0,12,7.0
3037109,182,prior,31,0,16,7.0
188789,66,train,8,0,15,30.0
2757977,147,prior,6,0,12,7.0
565517,69,prior,6,0,15,20.0
2080221,96,prior,30,0,15,6.0
1511744,133,prior,41,0,17,23.0
2909363,23,prior,19,0,21,14.0
197502,56,prior,12,0,20,0.0
2233973,131,prior,22,0,18,18.0
1855789,98,prior,3,0,20,30.0
2100338,190,prior,46,0,19,7.0
1470324,31,prior,10,0,23,8.0
473494,143,prior,4,0,18,30.0
2895447,136,prior,4,0,18,8.0
1130853,121,prior,12,0,19,13.0
1627126,54,prior,1,0,18,
3202279,47,prior,4,0,21,7.0
1810533,17,train,9,0,18,7.0
196467,168,prior,12,0,18,8.0
3356078,149,prior,82,0,22,4.0
2529209,65,prior,22,0,22,7.0
3291489,17,prior,9,0,20,7.0
445620,169,prior,26,0,23,5.0
2347009,28,prior,54,0,21,6.0
2118033,80,prior,13,0,21,0.0
2033298,168,prior,24,0,20,9.0
2720180,123,prior,5,0,20,14.0
2449949,49,prior,9,0,18,20.0
2880864,34,prior,11,0,18,6.0
1524072,195,prior,10,0,18,21.0
1917117,116,prior,3,0,18,8.0
1209313,109,train,48,0,20,30.0
1597062,147,prior,2,0,21,7.0
1274283,152,prior,62,0,19,4.0
3161092,1,prior,14,0,22,3.0
155866,190,prior,1,0,22,
1848523,129,prior,1,0,20,
183308,118,prior,21,0,18,13.0
2778267,166,prior,9,0,22,5.0
1295865,44,prior,1,0,19,
684900,148,prior,1,0,19,
1117146,32,prior,12,1,4,10.0
1709650,183,prior,3,1,5,17.0
405198,156,prior,41,1,2,11.0
1282521,78,test,7,1,0,19.0
2651914,109,prior,6,1,1,30.0
2776103,87,prior,35,1,0,14.0
3017447,106,prior,2,1,0,30.0
1293993,132,train,5,1,5,30.0
445599,172,train,4,1,0,9.0
2457006,187,prior,5,1,0,30.0
3399711,78,prior,7,1,1,7.0
1149283,60,prior,6,1,2,17.0
2157191,157,prior,1,1,1,
3199600,43,prior,2,1,1,7.0
1161493,170,prior,15,1,5,18.0
1017674,122,train,12,1,3,3.0
83592,35,prior,14,1,0,14.0
1006852,27,prior,2,1,5,11.0
2089983,141,prior,14,1,1,8.0
1250640,65,prior,29,1,0,8.0
878770,168,prior,11,1,0,28.0
250605,79,prior,19,1,4,8.0
1137127,30,prior,11,1,3,1.0
664271,62,prior,7,1,0,30.0
2272193,33,prior,14,1,2,10.0
1059036,166,test,4,1,0,9.0
2546078,19,prior,26,1,4,3.0
1378201,1,prior,10,1,2,13.0
3334244,44,prior,5,1,0,21.0
2984519,172,prior,77,1,0,12.0
1566814,148,prior,17,1,0,18.0
1994458,155,prior,20,1,0,2.0
903033,148,prior,4,1,3,30.0
6629,13,prior,8,1,2,13.0
2233482,26,prior,6,1,3,5.0
2374593,43,prior,31,1,11,3.0
7332,33,prior,8,1,9,12.0
1620383,99,prior,7,1,7,6.0
878157,116,prior,42,1,10,4.0
3127246,178,prior,8,1,11,12.0
285906,63,prior,42,1,11,2.0
3054769,141,prior,26,1,9,11.0
1099551,89,prior,16,1,9,7.0
3099876,119,prior,53,1,11,4.0
1599709,133,prior,1,1,10,
598052,160,prior,14,1,10,1.0
1718468,164,prior,14,1,10,1.0
1151851,119,prior,9,1,9,7.0
1166316,53,prior,9,1,10,9.0
247216,155,prior,15,1,9,8.0
2218142,175,prior,1,1,10,
2746567,89,prior,3,1,7,30.0
120723,27,prior,31,1,8,2.0
155390,49,prior,13,1,10,6.0
2372276,182,prior,6,1,7,14.0
510134,138,test,25,1,11,3.0
3060944,48,prior,10,1,7,14.0
825034,32,prior,50,1,9,7.0
519683,159,prior,14,1,9,7.0
3177112,184,prior,4,1,11,30.0
3376594,61,prior,1,1,8,
927430,163,prior,4,1,8,6.0
156189,62,prior,3,1,10,12.0
1808601,100,prior,5,1,10,8.0
415180,3,prior,8,1,9,20.0
966568,24,prior,5,1,11,11.0
368948,36,prior,32,1,10,7.0
871891,97,prior,2,1,7,27.0
1184732,6,prior,60,1,11,6.0
3270026,127,prior,11,1,11,0.0
1058862,104,prior,3,1,12,6.0
3399231,116,prior,45,1,13,10.0
1172053,69,prior,31,1,16,6.0
3215077,160,prior,15,1,17,5.0
2979023,83,prior,3,1,15,14.0
7728,26,prior,6,1,16,2.0
365775,122,prior,5,1,14,7.0
2753774,112,prior,24,1,17,6.0
514572,129,train,12,1,16,30.0
1884218,36,prior,14,1,15,3.0
174059,12,prior,1,1,13,
1781590,25,prior,2,1,14,30.0
883324,194,prior,2,1,15,8.0
931741,36,prior,9,1,14,30.0
490698,16,prior,10,1,15,30.0
307257,32,prior,4,1,12,30.0
1319062,25,prior,15,1,12,6.0
1070008,135,prior,48,1,12,1.0
1356725,94,prior,53,1,13,0.0
1180023,101,prior,7,1,15,14.0
2503795,146,prior,46,1,13,5.0
444511,93,prior,4,1,15,7.0
324340,131,prior,8,1,16,2.0
2743881,102,prior,5,1,14,9.0
571801,173,prior,10,1,15,9.0
2298878,53,prior,4,1,14,4.0
2877075,33,prior,55,1,14,6.0
2062573,25,prior,1,1,16,
2336672,127,prior,7,1,15,30.0
1515659,103,prior,11,1,17,7.0
2972532,85,prior,3,1,15,13.0
728553,107,train,5,1,15,9.0
571806,185,prior,13,1,13,15.0
416252,173,prior,2,1,16,20.0
2652408,33,train,8,1,15,25.0
2202876,171,prior,10,1,20,1.0
1610209,161,prior,9,1,19,6.0
1925449,56,prior,2,1,21,8.0
805603,158,train,4,1,21,30.0
3164503,38,prior,32,1,20,11.0
2750149,75,prior,35,1,21,6.0
3043577,134,prior,11,1,18,30.0
3160580,128,prior,12,1,18,26.0
1553817,105,prior,18,1,19,4.0
1351590,135,prior,3,1,19,30.0
3406208,174,prior,5,1,21,4.0
1283951,111,prior,25,1,18,2.0
1770611,92,prior,35,1,20,3.0
2499636,133,prior,2,1,20,0.0
426061,80,prior,57,1,20,6.0
347394,127,prior,5,1,18,7.0
140712,193,prior,2,1,18,3.0
145286,189,prior,3,1,22,12.0
1505122,124,prior,54,1,22,2.0
1500329,13,prior,26,1,21,7.0
1068991,163,prior,4,1,18,2.0
1011257,159,prior,3,1,18,18.0
1442242,1,prior,3,1,19,15.0
391827,163,prior,1,1,20,
2645563,75,prior,69,1,21,1.0
1803794,76,prior,16,1,21,9.0
2583042,101,train,9,1,18,30.0
1210973,63,prior,1,1,23,
805676,8,prior,12,1,18,30.0
1759449,30,prior,28,1,22,7.0
1711351,82,prior,21,1,18,0.0
728807,129,prior,1,1,18,
1252820,166,prior,3,1,19,11.0
2501671,113,prior,5,1,19,13.0
2834330,132,prior,4,1,18,22.0
2959837,195,prior,3,2,1,15.0
412674,58,prior,19,2,0,9.0
2958500,25,prior,97,2,4,4.0
1255939,34,prior,9,2,3,3.0
1001285,81,test,9,2,2,30.0
2945383,179,prior,26,2,4,29.0
3011809,72,prior,12,2,2,10.0
1612439,102,test,8,2,0,15.0
3024054,26,prior,9,2,1,6.0
1774881,137,prior,34,2,1,19.0
1430372,123,prior,4,2,0,8.0
1229149,45,test,4,2,4,30.0
453283,84,test,64,2,0,7.0
561643,28,prior,41,2,4,4.0
1505427,40,prior,17,2,5,16.0
2407073,97,prior,6,2,2,6.0
2788755,4,prior,5,2,0,3.0
1406376,45,prior,3,2,0,16.0
2135823,132,prior,9,2,0,30.0
1387876,148,prior,2,2,1,2.0
33979,159,prior,7,2,3,14.0
2657210,11,prior,2,2,0,10.0
125697,119,train,8,2,5,23.0
3023849,193,prior,3,2,0,23.0
3400306,73,prior,39,2,0,5.0
3215232,75,prior,25,2,1,5.0
1092243,79,prior,12,2,4,9.0
2193253,161,prior,78,2,5,2.0
2588570,189,prior,3,2,1,15.0
144837,159,train,22,2,1,30.0
534231,165,prior,29,2,3,5.0
1674153,128,prior,1,2,3,
1129272,185,test,12,2,5,30.0
361352,39,prior,8,2,0,30.0
2266714,92,prior,2,2,0,30.0
1571286,93,prior,13,2,10,28.0
1733967,137,prior,32,2,11,3.0
629078,71,prior,22,2,11,6.0
1640294,185,test,10,2,10,25.0
1005382,12,prior,2,2,9,5.0
580961,181,prior,22,2,9,8.0
1406509,32,prior,6,2,7,4.0
1246956,62,prior,6,2,9,4.0
3348931,199,prior,67,2,11,1.0
3001260,37,prior,15,2,7,7.0
1758717,15,prior,14,2,11,5.0
1857677,96,prior,31,2,7,4.0
1644809,200,prior,2,2,10,14.0
1503289,50,prior,20,2,10,12.0
70864,94,prior,18,2,8,1.0
1365724,87,prior,1,2,8,
998669,75,prior,11,2,7,7.0
2785798,5,prior,30,2,8,4.0
489413,44,prior,24,2,9,7.0
1802267,164,prior,2,2,10,28.0
1749856,11,prior,13,2,9,7.0
1186778,53,prior,4,2,11,9.0
1558009,59,prior,99,2,8,3.0
2104408,141,test,7,2,11,7.0
2349521,93,prior,1,2,8,
1269265,108,prior,24,2,9,1.0
3038922,161,prior,22,2,9,6.0
554437,35,prior,14,2,10,7.0
