order_id,customer_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
136,134,prior,1,0,0,
916,136,train,12,0,1,30.0
655,195,prior,8,0,1,28.0
574,98,prior,23,0,2,8.0
468,123,prior,6,0,2,30.0
304,23,prior,3,0,0,30.0
126,78,prior,61,0,3,14.0
585,4,prior,23,0,1,14.0
943,80,train,11,0,2,18.0
848,73,prior,27,0,4,30.0
410,173,prior,12,0,4,30.0
688,59,prior,13,0,0,8.0
650,7,prior,9,0,1,7.0
652,149,prior,10,0,5,4.0
776,17,prior,5,0,3,13.0
532,115,prior,41,0,0,4.0
478,86,prior,14,0,2,16.0
350,76,prior,1,0,1,
685,42,prior,5,0,5,8.0
596,120,prior,1,0,1,
214,96,prior,4,0,1,14.0
10,183,prior,3,0,1,30.0
382,28,prior,3,0,4,10.0
639,8,prior,13,0,0,5.0
352,32,prior,6,0,0,6.0
842,129,prior,1,0,1,
171,145,prior,57,0,1,7.0
783,104,prior,13,0,1,7.0
542,29,prior,16,0,1,7.0
723,187,prior,4,0,1,18.0
252,106,prior,76,0,1,4.0
210,189,prior,6,0,0,10.0
399,124,prior,4,0,3,12.0
742,72,prior,29,0,1,3.0
455,74,prior,41,0,0,2.0
123,104,prior,15,0,11,13.0
297,149,prior,16,0,11,19.0
608,102,prior,8,0,10,30.0
283,100,prior,18,0,10,7.0
711,183,prior,3,0,11,2.0
324,128,prior,9,0,8,10.0
489,5,prior,19,0,8,30.0
254,139,prior,6,0,10,30.0
669,14,prior,3,0,11,30.0
443,80,prior,13,0,11,10.0
428,138,prior,22,0,8,5.0
249,131,prior,16,0,11,9.0
696,30,prior,3,0,11,5.0
155,11,prior,29,0,11,7.0
578,196,prior,16,0,11,7.0
591,70,prior,20,0,10,22.0
105,65,prior,5,0,11,9.0
471,75,prior,6,0,9,22.0
605,83,prior,6,0,11,8.0
897,51,prior,2,0,10,6.0
830,18,prior,3,0,10,10.0
936,37,train,7,0,10,30.0
557,100,prior,9,0,8,6.0
537,196,prior,4,0,10,4.0
480,93,prior,5,0,10,29.0
903,58,prior,1,0,9,
670,147,prior,9,0,7,7.0
622,71,prior,1,0,10,
630,99,prior,23,0,11,9.0
935,153,train,6,0,8,22.0
244,184,prior,43,0,10,5.0
299,9,prior,19,0,9,8.0
485,11,prior,3,0,11,18.0
132,39,prior,11,0,13,9.0
26,74,prior,4,0,17,8.0
52,49,prior,7,0,16,30.0
55,6,prior,7,0,13,13.0
517,155,prior,9,0,14,5.0
336,192,prior,6,0,12,30.0
467,138,prior,5,0,12,13.0
506,78,prior,54,0,12,30.0
572,113,prior,6,0,15,7.0
780,89,prior,5,0,12,30.0
683,4,prior,13,0,12,21.0
853,20,prior,26,0,16,1.0
458,84,prior,1,0,15,
628,165,prior,1,0,13,
208,174,prior,2,0,12,13.0
881,72,prior,20,0,13,22.0
379,185,prior,35,0,13,7.0
623,169,prior,4,0,13,1.0
34,54,prior,2,0,12,13.0
27,63,prior,5,0,16,5.0
587,55,prior,10,0,17,30.0
56,199,prior,1,0,12,
97,71,prior,2,0,15,30.0
165,120,prior,1,0,15,
330,170,prior,12,0,16,7.0
296,25,prior,7,0,17,7.0
555,198,prior,7,0,12,30.0
821,6,prior,3,0,17,7.0
77,87,prior,42,0,12,7.0
803,182,prior,31,0,16,7.0
920,66,train,8,0,15,30.0
721,147,prior,6,0,12,7.0
149,69,prior,6,0,15,20.0
560,96,prior,30,0,15,6.0
425,133,prior,41,0,17,23.0
759,23,prior,19,0,21,14.0
54,56,prior,12,0,20,0.0
595,131,prior,22,0,18,18.0
515,98,prior,3,0,20,30.0
566,190,prior,46,0,19,7.0
411,31,prior,10,0,23,8.0
131,143,prior,4,0,18,30.0
757,136,prior,4,0,18,8.0
329,121,prior,12,0,19,13.0
459,54,prior,1,0,18,
858,47,prior,4,0,21,7.0
933,17,train,9,0,18,7.0
53,168,prior,12,0,18,8.0
896,149,prior,82,0,22,4.0
666,65,prior,22,0,22,7.0
883,17,prior,9,0,20,7.0
122,169,prior,26,0,23,5.0
619,28,prior,54,0,21,6.0
569,80,prior,13,0,21,0.0
549,168,prior,24,0,20,9.0
712,123,prior,5,0,20,14.0
643,49,prior,9,0,18,20.0
750,34,prior,11,0,18,6.0
431,195,prior,10,0,18,21.0
529,116,prior,3,0,18,8.0
930,109,train,48,0,20,30.0
447,147,prior,2,0,21,7.0
366,152,prior,62,0,19,4.0
840,1,prior,14,0,22,3.0
41,190,prior,1,0,22,
512,129,prior,1,0,20,
50,118,prior,21,0,18,13.0
726,166,prior,9,0,22,5.0
370,44,prior,1,0,19,
186,148,prior,1,0,19,
327,32,prior,12,1,4,10.0
475,183,prior,3,1,5,17.0
104,156,prior,41,1,2,11.0
697,109,prior,6,1,1,30.0
725,87,prior,35,1,0,14.0
796,106,prior,2,1,0,30.0
931,132,train,5,1,5,30.0
921,172,train,4,1,0,9.0
645,187,prior,5,1,0,30.0
909,78,prior,7,1,1,7.0
332,60,prior,6,1,2,17.0
577,157,prior,1,1,1,
857,43,prior,2,1,1,7.0
335,170,prior,15,1,5,18.0
929,122,train,12,1,3,3.0
23,35,prior,14,1,0,14.0
293,27,prior,2,1,5,11.0
563,141,prior,14,1,1,8.0
361,65,prior,29,1,0,8.0
255,168,prior,11,1,0,28.0
73,79,prior,19,1,4,8.0
331,30,prior,11,1,3,1.0
180,62,prior,7,1,0,30.0
600,33,prior,14,1,2,10.0
668,19,prior,26,1,4,3.0
389,1,prior,10,1,2,13.0
893,44,prior,5,1,0,21.0
786,172,prior,77,1,0,12.0
439,148,prior,17,1,0,18.0
541,155,prior,20,1,0,2.0
269,148,prior,4,1,3,30.0
3,13,prior,8,1,2,13.0
594,26,prior,6,1,3,5.0
629,43,prior,31,1,11,3.0
4,33,prior,8,1,9,12.0
457,99,prior,7,1,7,6.0
253,116,prior,42,1,10,4.0
831,178,prior,8,1,11,12.0
78,63,prior,42,1,11,2.0
813,141,prior,26,1,9,11.0
322,89,prior,16,1,9,7.0
